6739.323,5.23,,522.5,0.17,,,,0.42,
4100,4.5,,731,0.37,,,,0.69,
30.5987,0.14339,,23.54,0.06,1.07,,0.4,0.42,
122.6196,0.36175,,21.09,0.11,0.17,,0.4,0.42,
48.1345,0.19394,,7.6,0.12,0.59,,0.4,0.42,
13.2543,0.08208,,3.28,0.21,3.34,,0.4,0.42,
5.3636,0.03282,,2.02,0.23,2.58,,0.12,0.16,
40.54,0.1264,,2.31,0.17,0.17,,0.12,0.16,
14.207,0.089,,6.6,0.31,,,0.44,0.47,
24.45,0.141,,10.27,0.11,,391,0.58,0.64,4
3.3366496,0.0355,4.57,13.9,,,594,0.55,0.54,
1.1980035,0.01589,1.264,1.86,0,59.4,773,0.36,0.36,
15.509,0.0876,,7.41,0,1.95,329,0.36,0.36,
203.59,0.338,,147.15529,0.4356,,,0.14,0.12,5.5
3.93072,0.035,1.217,1.84,,12.6,525,0.34,0.34,
9.1247,0.061,,3.4,,4.45,401,0.34,0.34,
55.661,0.204,,6.1,,0.38,220,0.34,0.34,
2.64561,0.0287,,8.4,0.08,,,0.43,0.45,5
3.0232,0.026,,8,0.07,,,0.28,0.27,
6.905,0.0608,,7.14,0.121,,590,0.61,0.63,
2.64977,0.029,,2.47,0,,,0.49,0.5,
13.74,0.089,,6.26,0.049,,,0.49,0.5,
12.9532,0.0785,,2.99,0.22,,350,0.39,0.39,
20.129,0.111,,11.07,0.11,,,,0.35,
13.352,0.082,,16.57,0.37,,,0.41,0.41,6.9
7.3705,0.062,,6.043,0.04,,,,0.48,
5094.105,4.819,,32.422,0.12,,,,0.48,
36.059,0.178,,5.223,0.07,,,,0.48,
2.64388312,0.0291,4.17,22.1,0.13827,,,0.46,0.47,
9.567,0.068,,13.2,0.1,,,,0.45,
,43.5,,1271.3,,,510,,1.22,0.16
8.7076,0.06661,,5.36,0.08,,,0.5,0.52,
5.3686,0.04061,,15.8,0,,,0.33,0.31,
12.914,0.0721,,5.5,0,,,0.33,0.31,
3.149,0.02815,,1.7,0,,,0.33,0.31,
14.628,0.078361,,2.82,0.13,,,0.31,0.3,
598.3,1.135,,104.244,0.3,,,,0.54,
7.2004,0.0505,,5.6,0.13,,,,0.33,2
28.14,0.125,,3.8,0.02,,,,0.33,2
62.24,0.213,,2.7,0.02,,,,0.33,2
39.026,0.156,,2.7,0.03,,,,0.33,2
256.2,0.549,,4.6,0.08,,,,0.33,2
4.6938,0.039,,11.09,0.2,,,,0.35,0.55
1056.80005,1.82,,1576.4368,0.33,,,0.69,0.73,
7337,6.6,,2161.244,,,,,,
3.6005,,,4.4,0.262,,,,,
35.39,,,8.1,0.125,,,,,
17.478,0.08,,4.4,0.08,,,,0.27,
57.32,0.176,,8.7,0.1,,,,0.27,
24.16,0.1344,,9,0,,,0.54,0.55,
38.142,0.163,,17.2,0.17,,,,0.4,
727.562,1.165,,16,0.4,,,,0.4,
3657,3.56,,216,0.08,,,,0.45,
35.68,0.163,,5.4,0.18,,,,0.45,
1882,2.35,,317.83,0.04,,,0.53,0.65,
15.76491,0.11,,1404.8086,0.04,,,0.77,0.93,
61.1166,0.208317,,723.2235,0.0324,,,0.3,0.32,1
30.0881,0.12959,,226.9846,0.25591,,,0.3,0.32,1
1.93778,0.020807,,6.83,0.207,,,0.3,0.32,1
124.26,0.3343,,14.6,0.055,,,0.3,0.32,1
9.262,0.068,,4.2,0,7.95,468,0.47,0.49,2.88
21.789,0.12,,7.6,,2.56,352,0.47,0.49,2.88
241.883,0.403,,30.9,0.18,,,,0.15,
767.887,0.87,,71.6,0.33,,,,0.15,
73.94,0.291,,19.66,0.44,,,,0.6,
1.2089819,0.0188,1.577,4.91,0,,,0.6,0.61,10
3.6480957,0.03925,1.241,0.84,0,,,0.6,0.61,10
6.2014698,0.05591,2.022,4.04,0,,,0.6,0.61,10
,100,33.6,6356,,,2650,1.94,,
,320,,5000,,,2300,,0.9,0.005
,2000,14.179,3591.3,,,1050,,0.33,0.1
3.822,0.039435,,13.02,0.109,,830,0.56,0.56,
13.8508,0.0905,,5.63,0.363,,,0.51,0.52,
15.5314,0.0917,,6.64,0.077,,,0.43,0.43,
4.46529976,0.05561,14.785,166.86075,,,1322,1.17,1.15,
